experiment_id,experiment_name,experiment_order,model,model_name,seed,trained_on_split,trained_on_dataset,evaluated_on_split,evaluated_on_dataset,feature_set,split_method,full_training_rows,training_rows_used,training_label_0,training_label_1,evaluation_rows,evaluation_label_0,evaluation_label_1,num_features,feature_columns,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,f1_weighted,tn,fp,fn,tp,train_row_cap,epochs,batch_size,learning_rate,threshold,threshold_tuned,use_class_weight,training_seconds,evaluation_seconds,total_seconds,model_configuration,training_run,evaluation_run
random_common,Random 80/20 split,1,mdl00_baseline,Model 00: Majority Class Baseline,42,cic_random_80_20_v1,cic_collection,cic_random_80_20_v1,cic_collection,cic_common_v1,random,7334064,7334064,5748951,1585113,1833517,1437238,396279,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.7838694705312249,0.5,0.0,0.0,0.0,0.4394208676589962,0.6888972057444576,1437238,0,396279,0,,,,,,False,False,,,,{},20260716-213554_cic_random_80_20_v1_mdl00_baseline_seed42,20260716-213554_cic_random_80_20_v1_mdl00_baseline_seed42
random_common,Random 80/20 split,1,mdl01_xgboost,Model 01: XGBoost,42,cic_random_80_20_v1,cic_collection,cic_random_80_20_v1,cic_collection,cic_common_v1,random,7334064,7334064,5748951,1585113,1833517,1437238,396279,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.981142252839761,0.9633806419417692,0.9796651257038433,0.9320958213783723,0.9552886530215332,0.9716700055852308,0.9809703373429149,1429571,7667,26909,369370,,,,,,False,False,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.1, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": -1, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": null}",20260718-194234_cic_random_80_20_v1_mdl01_xgboost_seed42,20260718-194234_cic_random_80_20_v1_mdl01_xgboost_seed42
random_common,Random 80/20 split,1,mdl02_mlp,Model 02: PyTorch MLP / DNN,42,cic_random_80_20_v1,cic_collection,cic_random_80_20_v1,cic_collection,cic_common_v1,random,7334064,7334064,5748951,1585113,1833517,1437238,396279,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.9644884667008814,0.9415677697265166,0.9322416610542913,0.9011958746236869,0.9164559170910529,0.9469540019721887,0.9642689523870374,1411281,25957,39154,357125,,10,4096,0.001,0.5,False,False,879.0516132580015,12.097000165995269,891.1486134239967,"{""activation"": ""relu"", ""dropout"": 0.1, ""hidden_layer_sizes"": [64, 32]}",20260726-004055_cic_random_80_20_v1_mdl02_mlp_seed42,20260726-004055_cic_random_80_20_v1_mdl02_mlp_seed42
random_common,Random 80/20 split,1,mdl03_gru,Model 03: PyTorch GRU,42,cic_random_80_20_v1,cic_collection,cic_random_80_20_v1,cic_collection,cic_common_v1,random,7334064,7334064,5748951,1585113,1833517,1437238,396279,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.9672656430237625,0.9488707438687021,0.9309964726631393,0.9164704665147535,0.9236763630583373,0.9514205999966097,0.9671720836965301,1410320,26918,33101,363178,,10,4096,0.001,0.5,False,False,2118.678265311006,20.358763942000223,2139.037029253006,"{""bidirectional"": false, ""classifier"": ""layer_norm_dropout_linear"", ""dropout"": 0.1, ""hidden_size"": 64, ""input_size"": 1, ""num_layers"": 1, ""pooling"": ""last_hidden_state"", ""sequence_representation"": ""features_as_timesteps""}",20260726-005833_cic_random_80_20_v1_mdl03_gru_seed42,20260726-005833_cic_random_80_20_v1_mdl03_gru_seed42
random_common,Random 80/20 split,1,mdl04_transformer,Model 04: PyTorch Tabular Transformer,42,cic_random_80_20_v1,cic_collection,cic_random_80_20_v1,cic_collection,cic_common_v1,random,7334064,7334064,5748951,1585113,1833517,1437238,396279,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.9712956029314154,0.9540722672041739,0.9423165536148688,0.9237355499534419,0.9329335426584975,0.9573368780846412,0.9711916018978718,1414830,22408,30222,366057,,10,4096,0.001,0.5,False,False,7169.209246897997,42.503758632003155,7211.71300553,"{""activation"": ""gelu"", ""d_model"": 32, ""dropout"": 0.1, ""num_heads"": 4, ""num_layers"": 2, ""pooling"": ""mean""}",20260726-013622_cic_random_80_20_v1_mdl04_transformer_seed42,20260726-013622_cic_random_80_20_v1_mdl04_transformer_seed42
ddos_family_holdout,Complete DDoS-family holdout,2,mdl00_baseline,Model 00: Majority Class Baseline,42,cic_attack_holdout_ddos_v1,cic_collection,cic_attack_holdout_ddos_v1,cic_collection,cic_common_v1,attack_family_holdout,6495614,6495614,5748951,746663,2671967,1437238,1234729,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.5378951162196239,0.5,0.0,0.0,0.0,0.3497605984612595,0.37626903551672886,1437238,0,1234729,0,,,,,,False,False,,,,{},20260718-194542_cic_attack_holdout_ddos_v1_mdl00_baseline_seed42,20260718-194542_cic_attack_holdout_ddos_v1_mdl00_baseline_seed42
ddos_family_holdout,Complete DDoS-family holdout,2,mdl01_xgboost,Model 01: XGBoost,42,cic_attack_holdout_ddos_v1,cic_collection,cic_attack_holdout_ddos_v1,cic_collection,cic_common_v1,attack_family_holdout,6495614,6495614,5748951,746663,2671967,1437238,1234729,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.7283967204684788,0.7064494580598207,0.9890321464942451,0.4168704225785577,0.5865246396480318,0.692153306302689,0.7001589275006933,1431530,5708,720007,514722,,,,,,False,False,,,,"{""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.1, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": -1, ""num_parallel_tree"": null, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": ""hist"", ""validate_parameters"": null, ""verbosity"": null}",20260718-194544_cic_attack_holdout_ddos_v1_mdl01_xgboost_seed42,20260718-194544_cic_attack_holdout_ddos_v1_mdl01_xgboost_seed42
ddos_family_holdout,Complete DDoS-family holdout,2,mdl02_mlp,Model 02: PyTorch MLP / DNN,42,cic_attack_holdout_ddos_v1,cic_collection,cic_attack_holdout_ddos_v1,cic_collection,cic_common_v1,attack_family_holdout,6495614,6495614,5748951,746663,2671967,1437238,1234729,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.6867517450627197,0.661962398079039,0.9633050819817259,0.3348840109854065,0.4969930365372954,0.6347740433415899,0.6452164978730011,1421487,15751,821238,413491,,10,4096,0.001,0.5,False,False,,,,"{""activation"": ""relu"", ""dropout"": 0.1, ""hidden_layer_sizes"": [64, 32]}",20260718-194638_cic_attack_holdout_ddos_v1_mdl02_mlp_seed42,20260718-194638_cic_attack_holdout_ddos_v1_mdl02_mlp_seed42
ddos_family_holdout,Complete DDoS-family holdout,2,mdl03_gru,Model 03: PyTorch GRU,42,cic_attack_holdout_ddos_v1,cic_collection,cic_attack_holdout_ddos_v1,cic_collection,cic_common_v1,attack_family_holdout,6495614,6495614,5748951,746663,2671967,1437238,1234729,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.651676835829185,0.623365490801294,0.9858257348405675,0.2498167614108035,0.3986198162339592,0.5767294261020568,0.5902283948336237,1432803,4435,926273,308456,,10,4096,0.001,0.5,False,False,,,,"{""bidirectional"": false, ""classifier"": ""layer_norm_dropout_linear"", ""dropout"": 0.1, ""hidden_size"": 64, ""input_size"": 1, ""num_layers"": 1, ""pooling"": ""last_hidden_state"", ""sequence_representation"": ""features_as_timesteps""}",20260718-200104_cic_attack_holdout_ddos_v1_mdl03_gru_seed42,20260718-200104_cic_attack_holdout_ddos_v1_mdl03_gru_seed42
ddos_family_holdout,Complete DDoS-family holdout,2,mdl04_transformer,Model 04: PyTorch Tabular Transformer,42,cic_attack_holdout_ddos_v1,cic_collection,cic_attack_holdout_ddos_v1,cic_collection,cic_common_v1,attack_family_holdout,6495614,6495614,5748951,746663,2671967,1437238,1234729,11,"[""flow_duration"", ""total_fwd_packets"", ""total_bwd_packets"", ""total_fwd_bytes"", ""total_bwd_bytes"", ""fwd_packet_length_mean"", ""bwd_packet_length_mean"", ""flow_packets_s"", ""flow_bytes_s"", ""syn_flag_count"", ""urg_flag_count""]",0.6592094887399432,0.6317523092224491,0.9748641981096142,0.269473706376055,0.42223300878470343,0.5902824533734682,0.6030189598401373,1428659,8579,902002,332727,,10,4096,0.001,0.5,False,False,,,,"{""activation"": ""gelu"", ""d_model"": 32, ""dropout"": 0.1, ""num_heads"": 4, ""num_layers"": 2, ""pooling"": ""mean""}",20260718-202611_cic_attack_holdout_ddos_v1_mdl04_transformer_seed42,20260718-202611_cic_attack_holdout_ddos_v1_mdl04_transformer_seed42
